index,X,Y,Name,Images,Ratings,Sports,Facility
0,103.8635461,1.4218848,Rower's Bay Park,https://lh5.googleusercontent.com/p/AF1QipMQ1B8CKEKjIvX0DF21tnpiCKBSBuRb-y9ARxWs=w122-h92-k-no,4.4,Running (O),Park
1,103.8324319,1.4101641,Lower Seletar Reservoir Park,https://lh5.googleusercontent.com/p/AF1QipOI1rdHKU9TBTYR8E5pn-BWB8Hb-OLw0LvZxTgU=w163-h92-k-no,4.5,Running (O),Park
2,103.843378,1.4218358,Park Grove @ Yishun,https://lh5.googleusercontent.com/p/AF1QipO9zHLsc1SGkJfiGw_DzhLarUE6RbQgdAEjyCE=w194-h92-k-no,4.0,Running (O),HDB Flats
3,103.8608958,1.4237068,Yishun Dam,https://lh5.googleusercontent.com/p/AF1QipPS4HdbM-im-akEaehEwXtAy3dnLcfw_4T1_Vy9=w122-h92-k-no,4.4,Running (O),Tourist attraction
4,103.8514851,1.4273966,Everspring Park @ Yishun,https://lh5.googleusercontent.com/p/AF1QipP-T1n7dkKIuxJGs21YQqJ6Y7qq8maqwvWiAIIN=w92-h92-k-no,4.3,"Running (O)
Basketball (O)
Football (O)",Park
5,103.8304712,1.4161114,Yishun N8 Park,https://lh5.googleusercontent.com/p/AF1QipPBcOmfRnwqa7ZXKKWT_4vr5K-SC1ZqpCkT7p1I=w80-h106-k-no,4.8,"Running (O)
Football (O)",Park
6,103.8201618,1.4010748,Springleaf Nature Park,https://lh5.googleusercontent.com/p/AF1QipMDK1cE_YWTJ7p5ahdXpyz83nW49bQwvn4LTqLc=w122-h92-k-no,4.4,Running (O),Park
7,103.8431386,1.429097,Khatib Bongsu Park Connector,https://lh5.googleusercontent.com/p/AF1QipP3ppV0pKhUt8aAFDzb9vlPEpDofgHpTfcCgY8=w163-h92-k-no,4.6,Running (O),Park
8,103.839271,1.4209655,Yishun Green Link,https://lh5.googleusercontent.com/p/AF1QipPmrv9U1rztk1fiMZt-d_EZGCNwq_klfQCC9Upz=w122-h92-k-no,3.8,Running (O),Park
9,103.8353384,1.4379231,Yishun Neighbourhood Park,https://lh5.googleusercontent.com/p/AF1QipM-TkWepnzmo7JoMFiggtKsjU9tJIaC_HDW-mfJ=w163-h92-k-no,4.4,Running (O),Park
10,103.843087,1.4317376,Yishun Nature Park @ Yishun Greenwalk,https://lh5.googleusercontent.com/p/AF1QipMajpnjGgpHKcjtOsovLzkhy_zvoKBJvyJBcjNT=w122-h92-k-no,4.4,Running (O),Park
11,103.8357212,1.4257614,Yishun Town Garden,https://lh5.googleusercontent.com/p/AF1QipPHLCk3Z0oXM_b9jE5-g12J0-Nj3tJYEpvJYBIJ=w163-h92-k-no,4.1,Running (O),Park
12,103.8399388,1.4279278,Yishun Pond Park,https://lh5.googleusercontent.com/p/AF1QipMYbaHnNdvOIfdGRbw103Jm1QsT1GxPDKwoThf8=w122-h92-k-no,4.4,Running (O),Park
13,103.8425364,1.4245497,Yishun Park,https://lh5.googleusercontent.com/p/AF1QipN22ZZkIa9hX952rte19UN0wDTRUQafCSpmeu5W=w122-h92-k-no,4.3,Running (O),Park
14,103.8410367,1.4242843,Swimming Pool (SAFRA Yishun),https://lh5.googleusercontent.com/p/AF1QipO5J6hupWkQZvJ_w5RwsT3qAGVhrGUIturpeaKC=w122-h92-k-no,4.6,"Swimming (O)
Paid",Swimming pool
