Image,Location name,ratings,comments,ratings(# reviews),location type
https://lh5.googleusercontent.com/p/AF1QipMQ1B8CKEKjIvX0DF21tnpiCKBSBuRb-y9ARxWs=w122-h92-k-no,Rower's Bay Park,4.4,Running (O),4.4(455),Park 
https://lh5.googleusercontent.com/p/AF1QipOI1rdHKU9TBTYR8E5pn-BWB8Hb-OLw0LvZxTgU=w163-h92-k-no,Lower Seletar Reservoir Park,4.5,Running (O),"4.5(2,325)",Park 
https://lh5.googleusercontent.com/p/AF1QipO9zHLsc1SGkJfiGw_DzhLarUE6RbQgdAEjyCE=w194-h92-k-no,Park Grove @ Yishun,4,Running (O),4.0(28),HDB Flats 
https://lh5.googleusercontent.com/p/AF1QipPS4HdbM-im-akEaehEwXtAy3dnLcfw_4T1_Vy9=w122-h92-k-no,Yishun Dam,4.4,Running (O),4.4(922),Tourist attraction 
https://lh5.googleusercontent.com/p/AF1QipP-T1n7dkKIuxJGs21YQqJ6Y7qq8maqwvWiAIIN=w92-h92-k-no,Everspring Park @ Yishun,4.3,"Running (O)
Basketball (O)
Football (O)",4.3(21),Park 
https://lh5.googleusercontent.com/p/AF1QipPBcOmfRnwqa7ZXKKWT_4vr5K-SC1ZqpCkT7p1I=w80-h106-k-no,Yishun N8 Park,4.8,"Running (O)
Football (O)",4.8(20),Park 
https://lh5.googleusercontent.com/p/AF1QipMDK1cE_YWTJ7p5ahdXpyz83nW49bQwvn4LTqLc=w122-h92-k-no,Springleaf Nature Park,4.4,Running (O),4.4(601),Park 
https://lh5.googleusercontent.com/p/AF1QipP3ppV0pKhUt8aAFDzb9vlPEpDofgHpTfcCgY8=w163-h92-k-no,Khatib Bongsu Park Connector,4.6,Running (O),4.6(10),Park 
https://lh5.googleusercontent.com/p/AF1QipPmrv9U1rztk1fiMZt-d_EZGCNwq_klfQCC9Upz=w122-h92-k-no,Yishun Green Link,3.8,Running (O),3.8(6),Park 
https://lh5.googleusercontent.com/p/AF1QipM-TkWepnzmo7JoMFiggtKsjU9tJIaC_HDW-mfJ=w163-h92-k-no,Yishun Neighbourhood Park,4.4,Running (O),4.4(737),Park 
https://lh5.googleusercontent.com/p/AF1QipMajpnjGgpHKcjtOsovLzkhy_zvoKBJvyJBcjNT=w122-h92-k-no,Yishun Nature Park @ Yishun Greenwalk,4.4,Running (O),4.4(169),Park 
https://lh5.googleusercontent.com/p/AF1QipPHLCk3Z0oXM_b9jE5-g12J0-Nj3tJYEpvJYBIJ=w163-h92-k-no,Yishun Town Garden,4.1,Running (O),4.1(36),Park 
https://lh5.googleusercontent.com/p/AF1QipMYbaHnNdvOIfdGRbw103Jm1QsT1GxPDKwoThf8=w122-h92-k-no,Yishun Pond Park,4.4,Running (O),4.4(182),Park 
https://lh5.googleusercontent.com/p/AF1QipN22ZZkIa9hX952rte19UN0wDTRUQafCSpmeu5W=w122-h92-k-no,Yishun Park,4.3,Running (O),4.3(422),Park 
https://lh5.googleusercontent.com/p/AF1QipO5J6hupWkQZvJ_w5RwsT3qAGVhrGUIturpeaKC=w122-h92-k-no,Swimming Pool (SAFRA Yishun),4.6,"Swimming (O)
Paid",4.6(42),Swimming pool 
